state,district,lat,lon
Andaman and Nicobar Islands,South Andaman,11.6234,92.7265
Andhra Pradesh,Anantapur,14.6016,77.6394
Andhra Pradesh,Chittoor,13.4688,79.0077
Andhra Pradesh,East,16.9948,82.0257
Andhra Pradesh,Guntur,16.2897,80.331
Andhra Pradesh,Kadapa,14.6083,78.6886
Andhra Pradesh,Krishna,16.3792,80.9256
Andhra Pradesh,Kurnool,15.6463,77.9311
Andhra Pradesh,Nellore,14.4426,79.9865
Andhra Pradesh,Prakasam,15.5057,80.0499
Andhra Pradesh,Srikakulam,18.297,83.8968
Andhra Pradesh,Visakhapatnam,17.6868,83.2185
Andhra Pradesh,Vizianagaram,18.1067,83.3956
Andhra Pradesh,West,16.6897,81.379
Arunachal Pradesh,Papum Pare,27.0816,93.6027
Assam,Bongaigaon,26.501,90.5352
Assam,Cachar,24.8333,92.7789
Assam,Dhubri,26.0207,89.9743
Assam,Dibrugarh,27.4728,94.912
Assam,Jorhat,26.7465,94.2026
Assam,Kamrup,26.1445,91.7362
Assam,Nagaon,26.3464,92.684
Assam,Sonitpur,26.6528,92.7926
Assam,Tinsukia,27.4922,95.3468
Bihar,Aurangabad,24.7457,84.3805
Bihar,Begusarai,25.4167,86.1294
Bihar,Bhagalpur,25.2414,86.9924
Bihar,Bhojpur,25.556,84.6603
Bihar,Buxar,25.5647,83.9777
Bihar,Darbhanga,26.1119,85.896
Bihar,East Champaran,26.647,84.9089
Bihar,Gaya,24.7955,84.9994
Bihar,Jehanabad,25.2139,84.9896
Bihar,Katihar,25.5424,87.568
Bihar,Kishanganj,26.0917,87.9384
Bihar,Lakhisarai,25.1674,86.0988
Bihar,Munger,25.3446,86.4836
Bihar,Muzaffarpur,26.1209,85.3647
Bihar,Nalanda,25.1982,85.5149
Bihar,Nawada,24.8773,85.5384
Bihar,Patna,25.5941,85.1376
Bihar,Purnia,25.7771,87.4753
Bihar,Rohtas,24.9384,84.1112
Bihar,Saharsa,25.8835,86.6006
Bihar,Saran,25.7796,84.7499
Bihar,Sitamarhi,26.5952,85.4808
Bihar,Siwan,26.2196,84.3567
Bihar,Vaishali,25.6926,85.2084
Bihar,West Champaran,26.9657,84.2896
Chandigarh,Chandigarh,30.74,76.7567
Chhattisgarh,Bastar,19.0741,82.008
Chhattisgarh,Bilaspur,22.0796,82.1391
Chhattisgarh,Dhamtari,20.7015,81.5542
Chhattisgarh,Durg,21.1904,81.2849
Chhattisgarh,Korba,22.3595,82.7501
Chhattisgarh,Koriya,23.188,82.3542
Chhattisgarh,Mahasamund,21.1091,82.0979
Chhattisgarh,Raigarh,21.8974,83.395
Chhattisgarh,Raipur,21.2082,81.7025
Chhattisgarh,Rajnandgaon,21.0971,81.0302
Chhattisgarh,Surguja,23.1355,83.1818
Chhattisgarh,kanker,20.04,80.6271
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,20.2763,73.0083
Dadra and Nagar Haveli and Daman and Diu,Daman,20.3974,72.8328
Delhi,Delhi,28.6139,77.209
Goa,North Goa,15.4909,73.8278
Goa,South Goa,15.3522,73.8819
Gujarat,Ahmedabad,23.0225,72.5714
Gujarat,Amreli,21.6032,71.2221
Gujarat,Anand,22.4406,72.7765
Gujarat,Banaskantha,24.2585,72.1907
Gujarat,Bharuch,21.6642,73.0076
Gujarat,Bhavnagar,21.4291,71.9519
Gujarat,Botad,22.1704,71.6684
Gujarat,Dahod,22.8379,74.2531
Gujarat,Gandhinagar,23.231,72.5728
Gujarat,Gir Somnath,20.9142,70.3611
Gujarat,Jamnagar,22.4707,70.0577
Gujarat,Junagadh,21.5222,70.4579
Gujarat,Kheda,22.6916,72.8634
Gujarat,Kutch,23.1586,69.9003
Gujarat,Mehsana,23.588,72.3693
Gujarat,Morbi,22.812,70.8236
Gujarat,Navsari,20.9467,72.952
Gujarat,Palanpur,24.1741,72.4331
Gujarat,Panchmahal,22.7788,73.6143
Gujarat,Patan,23.8493,72.1266
Gujarat,Porbandar,21.6417,69.6293
Gujarat,Rajkot,22.0092,70.7385
Gujarat,Surat,21.1702,72.8311
Gujarat,Surendranagar,22.7201,71.6495
Gujarat,Vadodara,22.3072,73.1812
Gujarat,Valsad,20.4943,72.9224
Haryana,Ambala,30.3782,76.7767
Haryana,Bhiwani,28.799,76.1335
Haryana,Faridabad,28.4089,77.3178
Haryana,Gurgaon,28.4595,77.0266
Haryana,Hisar,29.1492,75.7217
Haryana,Jhajjar,28.6924,76.924
Haryana,Jind,29.3211,76.3058
Haryana,Kaithal,29.7857,76.3985
Haryana,Karnal,29.6857,76.9905
Haryana,Kurukshetra,29.9696,76.8198
Haryana,Palwal,28.1487,77.332
Haryana,Panchkula,30.6942,76.8606
Haryana,Panipat,29.3909,76.9635
Haryana,Rewari,28.1928,76.6239
Haryana,Rohtak,28.8955,76.6066
Haryana,Sirsa,29.5336,75.0177
Haryana,Sonipat,28.9288,77.0913
Haryana,Yamunanagar,30.129,77.2674
Himachal Pradesh,Shimla,31.1048,77.1734
Jammu and Kashmir,Anantnag,33.7049,75.2479
Jammu and Kashmir,Jammu,32.7266,74.857
Jammu and Kashmir,Srinagar,34.0814,74.8076
Jharkhand,Bokaro,23.7158,86.0766
Jharkhand,Deoghar,24.4763,86.6913
Jharkhand,Dhanbad,23.7718,86.6086
Jharkhand,East Singhbhum,22.8046,86.2029
Jharkhand,Giridih,24.1821,86.287
Jharkhand,Hazaribag,23.9966,85.3691
Jharkhand,Koderma,24.4289,85.5355
Jharkhand,Palamu,24.042,84.0907
Jharkhand,Ramgarh,23.6332,85.5149
Jharkhand,Ranchi,23.3496,85.3345
Jharkhand,Sahibganj,25.2381,87.6454
Karnataka,Bagalkot,16.1725,75.6557
Karnataka,Ballari,15.1394,76.9214
Karnataka,Belagavi,15.8497,74.4977
Karnataka,Bellary,15.2689,76.3909
Karnataka,Bengaluru Urban,12.9716,77.5946
Karnataka,Bidar,17.9149,77.5046
Karnataka,Chikkamagallooru,13.3153,75.7754
Karnataka,Chikkamagaluru,13.3153,75.7754
Karnataka,Chitradurga,14.2306,76.3985
Karnataka,Davanagere,14.5305,75.8011
Karnataka,Davangere,14.4663,75.9238
Karnataka,Dharwad,15.3647,75.124
Karnataka,Gadag,15.4325,75.638
Karnataka,Hassan,13.0068,76.0996
Karnataka,Haveri,14.6113,75.6383
Karnataka,Kalburgi,17.3297,76.8343
Karnataka,Kolar,13.0454,78.2012
Karnataka,Koppal,15.4319,76.5315
Karnataka,Mandya,12.5222,76.9009
Karnataka,Mysuru,12.2958,76.6394
Karnataka,Raichur,16.212,77.3439
Karnataka,Ramnagar,12.7094,77.2807
Karnataka,Shimoga,13.833,75.7081
Karnataka,Shivamogga,13.9299,75.5681
Karnataka,South Canara,12.9141,74.856
Karnataka,Tumakuru,13.345,77.1019
Karnataka,Udupi,13.3371,74.7466
Karnataka,Vijayapur,16.8302,75.71
Kerala,Alappuzha,9.4981,76.3388
Kerala,Ernakulam,9.9957,76.4512
Kerala,Kannur,11.8139,75.4316
Kerala,Kasaragod,12.5102,74.9852
Kerala,Kollam,8.8932,76.6141
Kerala,Kottayam,9.5916,76.5222
Kerala,Kozhikode,11.2588,75.7804
Kerala,Malappuram,10.9871,76.04
Kerala,Palakkad,10.7867,76.6548
Kerala,Thiruvananthapuram,8.5241,76.9366
Kerala,Thrissur,10.5276,76.2144
Lakshadweep,Lakshadweep,10.5593,72.6358
Madhya Pradesh,Balaghat,21.8129,80.1838
Madhya Pradesh,Betul,21.9108,77.9012
Madhya Pradesh,Bhind,26.5587,78.7873
Madhya Pradesh,Bhopal,23.2599,77.4126
Madhya Pradesh,Burhanpur,21.3194,76.2224
Madhya Pradesh,Chhatarpur,24.9164,79.5812
Madhya Pradesh,Chhindwara,22.0574,78.9382
Madhya Pradesh,Damoh,23.8381,79.4422
Madhya Pradesh,Datia,25.6653,78.4609
Madhya Pradesh,Dewas,22.9623,76.0508
Madhya Pradesh,Dhar,22.6073,75.4924
Madhya Pradesh,Guna,24.6348,77.298
Madhya Pradesh,Gwalior,26.2183,78.1828
Madhya Pradesh,Hoshangabad,22.6748,77.7453
Madhya Pradesh,Indore,22.7196,75.8577
Madhya Pradesh,Jabalpur,23.1815,79.9864
Madhya Pradesh,Katni,23.8308,80.4072
Madhya Pradesh,Khandwa,21.8257,76.3526
Madhya Pradesh,Khargone,21.8335,75.615
Madhya Pradesh,Mandsaur,24.0768,75.0693
Madhya Pradesh,Morena,26.4934,77.991
Madhya Pradesh,Neemuch,24.4764,74.8624
Madhya Pradesh,Ratlam,23.3342,75.0376
Madhya Pradesh,Rewa,24.5373,81.3042
