pincode,area,district,state,lat,lon
110001,New Delhi GPO,New Delhi,Delhi,28.60586,77.2202
110002,Indraprastha HO,Central,Delhi,28.63594,77.23659
110003,Lodi Road HO,New Delhi,Delhi,28.5952,77.22839
110004,Rashtrapati Bhawan SO,New Delhi,Delhi,28.62108,77.19614
110005,Desh Bandhu Gupta Road SO,Central,Delhi,27.82229,77.1645
110006,Delhi GPO,North,Delhi,28.65537,77.2255
110007,Rana Pratap Bagh SO,North,Delhi,28.67245,77.2054
110008,Patel Nagar East SO,West,Delhi,28.64764,77.16676
110009,GTB Nagar SO,North,Delhi,28.70463,77.19891
110010,Aps Colony BO,New Delhi,Delhi,28.3058,77.13126
110011,Nirman Bhawan SO,New Delhi,Delhi,28.61099,77.21381
110012,Inderpuri SO,West,Delhi,28.63636,77.16133
110013,Dargah Sharif SO,South East,Delhi,28.58949,77.24646
110014,Hari Nagar Ashram SO,South East,Delhi,28.5792,77.25381
110015,Ramesh Nagar H.O,West,Delhi,28.6578,77.13126
110016,Technology Bhawan SO,South,Delhi,28.54523,77.19863
110017,MMTCSTC Colony SO,South,Delhi,28.53197,77.21462
110018,Chaukhandi B.O,West,Delhi,28.35508,76.34489
110019,Kalkaji HO,South,Delhi,28.53973,77.27039
110020,Tehkhand BO,South,Delhi,28.54496,77.2713
110021,Chanakya Puri SO,New Delhi,Delhi,28.59071,77.16701
110022,R K Puram Sect1 SO,New Delhi,Delhi,28.56337,77.17307
110023,Sarojini Nagar HO,New Delhi,Delhi,28.57542,77.20435
110024,Amar Colony SO,South East,Delhi,28.56385,77.23402
110025,Jamia Nagar SO,South East,Delhi,28.55783,77.27962
110026,Punjabi Bagh S.O,West,Delhi,28.65809,77.13171
110027,Rajouri Market S.O,West,Delhi,28.64254,77.11687
110028,Naraina Industrial Estate H.O,New Delhi,Delhi,28.63132,77.13688
110029,Safdarjung Enclave SO,South,Delhi,28.56567,77.20334
110030,Gadaipur BO,South,Delhi,28.51975,77.18456
110031,Gandhi Nagar Bazar SO,Shahdara,Delhi,28.67031,77.27544
110032,Rohtash Nagar SO,Shahdara,Delhi,28.67296,77.29926
110033,Jahangir Puri H Block SO,North,Delhi,28.72372,77.171
110034,Saraswati Vihar SO,North West,Delhi,28.69515,77.13748
110035,Rampura BO,North West,Delhi,28.68236,77.15976
110036,Hiranki BO,North,Delhi,28.79802,77.11978
110037,Mahipalpur BO,New Delhi,Delhi,28.54923,77.10816
110038,Rajokari BO,New Delhi,Delhi,28.51903,77.0958
110039,Jat Khore BO,North,Delhi,28.79969,77.03806
110040,Lampur BO,North,Delhi,28.84472,77.08557
110041,Nilothi B.O,West,Delhi,28.6718,77.03164
110042,Samai Pur SO,North,Delhi,28.74179,77.1367
110043,Khaira B.O,West,Delhi,28.5679,77.4698
110044,Village Tugalkabad BO,South,Delhi,28.51336,77.27007
110045,Dabri B.O,South West,Delhi,25.80292,77.43868
110046,Sagarpur S.O,New Delhi,Delhi,28.61106,77.10586
110047,Mandi BO,South,Delhi,28.4637,77.13542
110048,Greater Kailash SO,South,Delhi,28.54177,77.23887
110049,New Delhi South ExtII SO,South East,Delhi,28.5595,77.21791
110051,Krishna Nagar HO,East,Delhi,28.66065,77.29133
110052,Ashok Vihar HO,North West,Delhi,28.68471,77.17674
110053,Brahampuri SO,North East,Delhi,28.65191,77.25443
110054,Civil Lines SO North Delhi,Central,Delhi,28.68727,77.22421
110055,SRT NAGAR EXTENSION COUNTER,Central,Delhi,28.63791,77.19938
110056,Shakur Basti Depot SO,North West,Delhi,28.68272,77.11111
110057,Vasant Vihar2 SO,New Delhi,Delhi,28.56294,77.15758
110058,Janakpuri A 3 S.O,West,Delhi,28.62478,77.08866
110059,Hastal Village B.O,West,Delhi,28.62403,77.18883
110060,Rajender Nagar SO,Central,Delhi,28.63672,77.18311
110061,Bijwasan SO,South West,Delhi,28.53643,77.05081
110062,Dr Ambedkar Nagar SO South Delhi,South,Delhi,28.51809,77.23859
110063,Madipur Village S.O,West,Delhi,28.66856,77.11112
110064,Hari Nagar BE Block S.O,West,Delhi,28.62472,75.91599
110065,East Of Kailash PhaseI SO,South East,Delhi,28.56103,77.2522
110066,R K Puram West SO,New Delhi,Delhi,28.56622,77.18249
110067,Munirka SO,New Delhi,Delhi,28.5484,77.173
110068,Ignou SO,South,Delhi,28.50122,77.20031
110069,Union Public Service Commission SO,New Delhi,Delhi,28.62258,77.21272
110070,Vasant Kunj SO,New Delhi,Delhi,28.52271,77.15606
110071,Kangan Heri B.O,South West,Delhi,28.55297,77.15156
110072,Jharoda Kalan B.O,South West,Delhi,28.64425,77.45852
110073,Galib Pur B.O,South West,Delhi,27.09987,80.6811
110074,BHATI VILLAGE BO,South,Delhi,28.49772,77.18737
110075,NDC DWARKA SEC-6,South West,Delhi,28.59316,77.04797
110076,Madanpur Khadar BO,South,Delhi,28.52828,77.30039
110077,Raj Nagar   II S.O,South West,Delhi,28.56825,77.06289
110078,N.S.I.T. Dwarka S.O,South West,Delhi,28.61389,77.06544
110080,Sangam Vihar SO,South,Delhi,28.50657,77.2404
110081,Chand Pur BO,North West,Delhi,28.73492,77.00556
110082,Khera Khurd BO,North,Delhi,28.77217,77.119
110083,Mangolpuri I  Block SO,North West,Delhi,28.69819,77.08843
110084,Wazirabad Village SO,Central,Delhi,28.75338,77.19837
110085,Prashant Vihar SO,North West,Delhi,28.71242,77.13302
110086,Budh Vihar BO,North West,Delhi,28.69905,77.076
110087,Peeragarhi B.O,West,Delhi,28.67539,77.08654
110088,Shalamar BO,North,Delhi,28.7038,77.16324
110089,Rohini Sector 15 SO,North West,Delhi,28.73481,77.1325
110090,Khajoori Khas BO,North East,Delhi,28.70213,77.28972
110091,Kalyanpuri SO,East,Delhi,28.61015,77.30225
110092,Shakarpur SO,East,Delhi,28.65701,77.2908
110093,Mandoli Saboli BO,North East,Delhi,28.69794,77.30705
110094,Gokal Puri SO,North East,Delhi,28.69615,77.29725
110095,Jhilmil HO,Shahdara,Delhi,28.68032,77.31774
110096,New Ashok Nagar S.O,East,Delhi,28.61133,77.32372
