facility_type,name,state,district,lat,lon,crop
cotton_ginning,Sri Kailasanadha Cotton Syndicate (P) Ltd,Andhra Pradesh,Guntur,16.36597,80.50995,cotton
cotton_ginning,Raaghavendra Spin Cot Mills,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Gayatri Cotton Mills,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Vijaya Chaitanya Enterprises Private Limited,Andhra Pradesh,Guntur,16.47887,80.06423,cotton
cotton_ginning,Sri Vijaya Venkateswara Cotton Mills Pvt.Ltd,Andhra Pradesh,Guntur,16.36597,80.50995,cotton
cotton_ginning,Lakshmi Cotton Trading Co,Andhra Pradesh,Guntur,16.3971,80.14894,cotton
cotton_ginning,Nsl Textiles Limited,Andhra Pradesh,Guntur,16.55843,79.63068,cotton
cotton_ginning,Nsl Textiles (Edlapadu)Ltd,Andhra Pradesh,Guntur,16.15764,80.24282,cotton
cotton_ginning,Tirumala Cotton & Agro Products Pvt.Ltd,Andhra Pradesh,Guntur,16.15764,80.24282,cotton
cotton_ginning,Srinivasa Cotton Traders,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Vijaya Maruthi Tmc,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Kasturi Cotton Ginning & Pressing Mills (P) Ltd,Andhra Pradesh,Guntur,16.10546,80.22259,cotton
cotton_ginning,Krishna Cotton Industries,Andhra Pradesh,Guntur,16.36597,80.50995,cotton
cotton_ginning,Gayathri Cotton Products,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Kollipara Subba Rao Cotton Industries,Andhra Pradesh,Guntur,16.39849,80.6189,cotton
cotton_ginning,Paruchuri Cotton Products Pvt.Ltd,Andhra Pradesh,Guntur,16.19275,80.33475,cotton
cotton_ginning,Sri Sai Lakshmi Cotton Ginning Mills,Andhra Pradesh,Guntur,16.2897,80.331,cotton
cotton_ginning,Nagulapadu Cottons Pvt.Ltd,Andhra Pradesh,Guntur,16.0701,80.33359,cotton
cotton_ginning,Mehala Carona Ginners & Spinners,Andhra Pradesh,Guntur,16.36597,80.50995,cotton
cotton_ginning,T.S.R.Cotton Ginning Mill,Andhra Pradesh,Guntur,16.39849,80.6189,cotton
cotton_ginning,Mohana Cotton Ginning,Andhra Pradesh,Guntur,16.2897,80.331,cotton
cotton_ginning,Andhra Ginning Lane (P) Ltd,Andhra Pradesh,Guntur,16.36597,80.50995,cotton
cotton_ginning,Swathi Cotgin (Tmc) P.Ltd,Andhra Pradesh,Guntur,16.10354,80.16819,cotton
cotton_ginning,Harihara Spin Cott,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Sree Sarada Enterprises,Andhra Pradesh,Guntur,16.31443,80.42992,cotton
cotton_ginning,Sri Mahalakshmi Cotton Ginning Mills,Andhra Pradesh,Guntur,16.35955,80.43985,cotton
cotton_ginning,Premier Spincot,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Gayathri Sri Narayanaswamy Ginning Mill,Andhra Pradesh,Guntur,16.47887,80.06423,cotton
cotton_ginning,Sk & Jb Cotton Mills,Andhra Pradesh,Guntur,16.10546,80.22259,cotton
cotton_ginning,Lakshmi Mohana Cotton Industry,Andhra Pradesh,Guntur,16.19275,80.33475,cotton
cotton_ginning,Srinidhi Cotton Industry,Andhra Pradesh,Guntur,16.25475,80.40368,cotton
cotton_ginning,Vijayadurga Cotton Industries,Andhra Pradesh,Guntur,16.39849,80.6189,cotton
cotton_ginning,Kallam Brothers Cottons (P) Ltd,Andhra Pradesh,Guntur,16.27941,80.37403,cotton
cotton_ginning,Srinivasa Cotton & Oil Mills Ltd,Andhra Pradesh,Guntur,16.0701,80.33359,cotton
